ID;expression1;expression2;sentence1;sentence2
hom_802;groovy;groovy;Her new dance move was really groovy.;The vinyl record is groovy, filled with intricate grooves.
hom_1136; concentration; concentration; She needs to improve her concentration to excel in her studies.; The factory produces concentrated orange juice by removing excess water.
het_380;fleece;fleas;The sheep's fleece was thick and white.;The dog was infested with fleas.
het_1332;alp;help;The Swiss alps are renowned for their stunning skiing slopes.;She can't learn to ski without a lot of help.
het_830;stonily;stonily;She replied stonily when asked about her plans.;The statue stood stonily in the corner of the room.
het_1314;crewel;cruel;She used crewel embroidery to decorate the pillow with intricate patterns.;The manager's cruel treatment of employees led to low morale in the office.
het_350;white on time;right on time;The snowstorm was white on time, blanketing the city in snow.;The meeting started right on time, exactly as scheduled.
het_1011;cel;cell;The animator carefully drew each character on a separate cel.;The prisoner was confined to a small cell for 23 hours a day.
het_1203;steal;steel;Thieves often steal valuable items from houses.;The athlete has muscles of steel after rigorous training.
hom_1534;pump;pump;He bought a new pump for his wardrobe.;The detectives pumped him for information.
het_1572;moccary;mockery;She ordered a special moccary latte at her favorite coffee shop.;His constant teasing turned into a mockery of her efforts.
hom_354; submerged; submerged; The submarine submerged beneath the ocean surface.; She was submerged in her work and couldn't find time to relax.
hom_1661;kick;kick;She gets a kick out of solving complex puzzles.;The donkey kicked the stable door shut.
het_1316;wait;wheat;The farmers can hardly wait for a good harvest.;The farmers grow wheat for a good harvest.
hom_1826;pit;pit;The peach pit was hard and needed to be discarded before making jam.;She felt a flutter in the pit of her stomach before the big presentation.
hom_230;chuck;chuck;My name is Chuck.;I work with chuck cuts of beef.
het_58; springs to mind; springs to mine; A creative solution springs to mind during the brainstorming session.; The Claymore weapon springs to mine when activated.
hom_1389;astronomical;astronomical;The renovation of the building was astronomical.;The astronomical observations revealed new details about the galaxy.
hom_2208; stick; stick; The manager always sticks to their word, ensuring all promises are fulfilled.; The carpenter used glue to make the pieces stick together firmly.
hom_1163;retire;re-tire;John plans to retire at the age of sixty-five.;The mechanic will need to re-tire the delivery van before it hits the road.
hom_1028;make up;make-up;She had to make up for the time she lost due to her absence.;She applied her make-up carefully before going out.
hom_1605;screwing up;screwing up;He tends to screw up his projects when under pressure.;He is screwing up the ceiling fan by fastening it with screws.
hom_961;AM;AM;He tuned into the AM frequency to listen to the news.;I have a meeting scheduled for 9 AM.
hom_1010; reflective; reflective; The student was very reflective about his career choices.; The reflective surface of the mirror shone brightly.
hom_30;gushed;gushed;He gushed about the new movie.;The oil gushed from the well after the drill reached the reservoir.
hom_1588;make the cut;make the cut;In order to join the team, she had to make the cut.;The surgeon was able to make the cut precisely during the operation.
hom_1521;suspended;suspended;The student was suspended for skipping school.;The bungee jumper was suspended high above the river.
hom_1593;quarter;quarter;I have several quarters in my piggy bank.;The soldiers returned to their quarters after the battle.
het_1563;fix the roof;fix the roof;I'm going to repair the building's roof.;I'm going to prepare the roof for the new event.
het_1583;spectacle;spectacles;During the meeting, he made a spectacle of himself by telling inappropriate jokes.;She lost her spectacles and struggled to read the book.
hom_625;go to bits;go to bits;After losing his job, he began to go to bits.;The outdated software started to go to bits, causing frequent crashes.
het_1043;hard sell;hard cell;The salesperson used a hard sell technique to promote the new product.;The prisoner was placed in a hard cell as part of his incarceration.
hom_2088;short;short;The small boy was too short to reach the counter.;He was a little short and couldn't pay for his lunch.
hom_1861; growing on me; growing on me; I initially didn't enjoy the movie, but it's growing on me.; My hair is growing on me after the haircut.
het_976;reign;rain;The monarch's reign brought stability to the kingdom.;Heavy rain caused the river to overflow.
hom_1238;no sweat;no sweat;The deodorant ensures no sweat during your workout.;Fixing the computer was no sweat for him.
hom_775;joints;joints;He often visited various joints around the city to enjoy live music.;After the fall, her knee and elbow joints were examined by the orthopedic specialist.
hom_1113; plumb; plumb; She was plumb loco after the incident.; He had to plumb the well to determine its depth.
het_1209;sign;sine;Please sign on the dotted line to finalize the contract.;The sine of the angle is crucial for this calculation.
hom_1441;hide;hiding;She is hiding behind the door.;The tanner works with animal hides.
hom_157;pipe down;pipe down;Please pipe down while I am speaking.;The plumber needs to pipe down the leaking pipes.
het_1082;aches;eggs;The elderly farmer often experiences various aches after a long day.;Every morning, the farmer collects a dozen eggs from the hens.
hom_1078;monumental;monumental;His contribution to the project was truly monumental.;The new park features a monumental statue of the city founder.
